"股票代碼","名稱","差額(仟元)","買進","賣出","外資","投信","自營商"
"2233","宇隆","587","元大-竹科: 1988","永豐金-板橋: -1401","-1","1","0"
"2206","三陽工業","578","(牛牛牛)亞-網路: 578","","-2","0","1"
"3062","建漢","577","康和-澎湖: 577","","-4","0","1"
"2731","雄獅","551","永豐金-板橋: 551","","3","0","0"
"9924","福興","545","(牛牛牛)亞-網路: 545","","4","0","0"
"1460","宏遠","538","兆豐-中壢: 538","","1","0","0"
"2855","統一證","522","中國信託-嘉義: 522","","-2","0","0"
"1232","大統益","497","康和-澎湖: 497","","-1","-1","1"
"6204","艾華","491","(牛牛牛)亞-網路: 491","","1","0","0"
"3484","崧騰","437","玉山-雙和: 1731","玉山-城中: -1294","2","0","2"
"00830","國泰費城半導體","431","元大-竹科: 1617","玉山-城中: -1186","None","None","None"
"4152","台微體","425","玉山-城中: 1870","凱基-松山: -1445","7","0","0"
"3576","聯合再生","407","凱基-大安: 407","","1","0","0"
"1762","中化生","397","中國信託-忠孝: 2538","凱基-松山: -650 										 										日盛-景美: -1491","1","0","-1"
"2606","裕民","392","兆豐-中壢: 240 										 										國票-長城: 15771 										 										富邦-板橋: 976 										 										(牛牛牛)亞-鑫豐: 2308 										 										富邦-台北: 5662 										 										新光-新竹: 2097 										 										玉山-雙和: 5081","新加坡商瑞銀: -27407 										 										兆豐-忠孝: -1344 										 										日盛-景美: -2466 										 										凱基-大安: -526","-1","2","3"
"8182","加高","362","統一-敦南: 2486 										 										永豐金-板橋: 1585","台新-高雄: -3266 										 										凱基-大安: -443","2","0","2"
"00671","R富邦NASDAQ反1","344","康和-澎湖: 344","","None","None","None"
"6202","盛群","316","凱基-大安: 1265","統一-台中: -949","1","1","1"
"2363","矽統","315","富邦-板橋: 1974 										 										中國信託-嘉義: 662","中國信託-忠孝: -2321","1","0","1"
"4106","雃博","307","(牛牛牛)亞-網路: 616","康和-澎湖: -309","1","0","1"
"5284","jpp-KY","305","凱基-大安: 305","","-2","0","0"
"1315","達新","303","凱基-大安: 303","","7","0","0"
"2537","聯上發","291","康和-澎湖: 291","","4","0","0"
"3028","增你強","289","兆豐-中壢: 289","","-9","0","0"
"9941","裕融","277","兆豐-中壢: 277","","-1","0","1"
"2467","志聖","267","凱基-大安: 267","","1","0","0"
"4167","松瑞藥","245","(牛牛牛)亞-鑫豐: 1451","(牛牛牛)亞-網路: -1206","-5","0","-1"
"2365","昆盈","244","康和-澎湖: 244","","-4","0","0"
"5287","數字","238","康和-澎湖: 238","","4","0","0"
"2732","六角","234","康和-澎湖: 234","","5","0","1"
