代碼,商品,股本,產業,產業地位
1722,台肥,98.00,"上市化學生技醫療,上市化工",台灣最大肥料及化學廠商
1723,中碳,23.69,"上市化學生技醫療,上市化工",中鋼集團旗下，台灣唯一煤化工製造商
1724,台硝,12.78,"上市化學生技醫療,上市化工",全球第二大、亞洲最大硝化棉供應商
1725,元禎,18.18,"上市化學生技醫療,上市化工",石化原料之專業代理商
1726,永記,16.20,"上市化學生技醫療,上市化工",台灣最大油漆廠，主要生產防火漆
1727,中華化,10.83,"上市化學生技醫療,上市化工",台灣主要生產硫酸產品之廠商
1730,花仙子,6.32,"上市化學生技醫療,上市化工",台灣最大家庭日用品廠商
1731,美吾華,13.29,"上市化學生技醫療,上市生技醫療",藥品代理並生產自有品牌染髮劑及沐浴用品
1732,毛寶,4.24,"上市化學生技醫療,上市化工",台灣主要清潔用品大廠
1733,五鼎,10.00,"上市化學生技醫療,上市生技醫療",以血糖儀為主之OEM大廠
1734,杏輝,16.77,"上市化學生技醫療,上市生技醫療",台灣老牌學名藥製造商，並跨足保健食品及中草藥原料開發
1735,日勝化,9.94,"上市化學生技醫療,上市化工",專業合成皮用PU樹脂製造商
1736,喬山,30.36,"上市化學生技醫療,上市生技醫療",台灣第一大、全球前四大健身器材廠
1737,臺鹽,20.00,上市食品,台灣最大製鹽商，並跨足生技及水產品
1742,台蠟,7.16,上櫃化工,台灣唯一蠟品專業製造商
1752,南光,10.10,上櫃生技醫療,台灣最大針劑製造廠
1760,寶齡富錦,7.67,"上市化學生技醫療,上市生技醫療",腎臟病新藥Nephoxil取得美FDA藥證
1762,中化生,7.76,"上市化學生技醫療,上市生技醫療",中化旗下原料藥製造商，MMF與MCB美國市佔第一
1773,勝一,18.00,"上市化學生技醫療,上市化工",台灣第2大溶劑廠商
1776,展宇,7.03,"上市化學生技醫療,上市化工",台灣PU樹脂及硬化劑大廠
1777,生泰,3.01,上櫃生技醫療,開發及產製原料藥廠商
1781,合世,4.74,上櫃生技醫療,全球前三大電子式血壓計廠
1783,和康生,6.95,"上市化學生技醫療,上市生技醫療",專注膠原蛋白之高階醫材及醫美保養產品
1784,訊聯,4.96,上櫃生技醫療,台灣第一大臍帶血銀行與幹細胞資料庫公司
1785,光洋科,59.19,"上櫃電子全部,上櫃其他電子",全球最大硬碟靶材供應商
1786,科妍,6.10,"上市化學生技醫療,上市生技醫療",台灣首家醫療級玻尿酸醫材廠
