"股票代碼","名稱","差額(仟元)","買進","賣出","外資","投信","自營商"
"3707","漢磊","-115,791","統一-敦南: 2008 										 										富邦-板橋: 1670 										 										日盛-景美: 4952 										 										凱基-大安: 2155","兆豐-中壢: -1153 										 										美商高盛: -20884 										 										摩根大通: -55740 										 										新加坡商瑞銀: -48799","-3","1","-1"
"3231","緯創","-109,543","兆豐-中壢: 422","瑞士信貸: -60607 										 										摩根大通: -49358","10","1","7"
"6274","台燿","-105,620","康和-澎湖: 325 										 										港商麥格理: 212 										 										國票-長城: 10662 										 										台新-高雄: 1814 										 										兆豐-忠孝: 9621","(牛牛牛)亞-網路: -1528 										 										(牛牛牛)亞-鑫豐: -3093 										 										台灣匯立證券: -123633","-3","2","3"
"2615","萬海","-105,271","康和-澎湖: 1555 										 										玉山-城中: 750 										 										統一-台中: 956 										 										統一-敦南: 4217 										 										中國信託-忠孝: 2163 										 										永豐金-中正: 1852 										 										永豐金-板橋: 775 										 										富邦-板橋: 1198 										 										凱基-松山: 48078 										 										(牛牛牛)亞-鑫豐: 1781 										 										富邦-台北: 2091 										 										兆豐-忠孝: 1555 										 										日盛-景美: 1546 										 										元大-竹科: 4987 										 										玉山-雙和: 601","美商高盛: -157717 										 										台新-高雄: -1992 										 										新加坡商瑞銀: -15155 										 										台灣匯立證券: -4512","-3","-2","4"
"2027","大成鋼","-103,433","康和-澎湖: 507 										 										玉山-城中: 741 										 										永豐金-板橋: 852 										 										富邦-板橋: 1251 										 										台新-高雄: 2098 										 										中國信託-嘉義: 1821 										 										台灣匯立證券: 93","統一-台中: -1065 										 										國票-長城: -3954 										 										凱基-松山: -23305 										 										摩根大通: -63196 										 										新加坡商瑞銀: -17882 										 										日盛-景美: -1394","2","-1","-2"
"6182","合晶","-98,636","玉山-城中: 1070 										 										中國信託-忠孝: 1941 										 										永豐金-中正: 2711 										 										永豐金-板橋: 892 										 										富邦-板橋: 1726 										 										台新-高雄: 3127 										 										富邦-台北: 1905 										 										中國信託-嘉義: 708 										 										新光-新竹: 1641 										 										日盛-景美: 1302 										 										元大-竹科: 4045 										 										玉山-雙和: 677","兆豐-中壢: -224 										 										康和-澎湖: -299 										 										美商高盛: -15159 										 										瑞士信貸: -16292 										 										國票-長城: -2503 										 										凱基-松山: -700 										 										摩根大通: -40055 										 										新加坡商瑞銀: -44876 										 										凱基-大安: -273","-1","4","4"
"6223","旺矽","-97,746","康和-澎湖: 362 										 										統一-敦南: 1421 										 										富邦-板橋: 1129 										 										(牛牛牛)亞-網路: 1058 										 										台新-高雄: 1587 										 										富邦-台北: 8621 										 										中國信託-嘉義: 2580 										 										新光-新竹: 1720 										 										元大-竹科: 1187 										 										凱基-大安: 465","統一-台中: -7694 										 										國票-長城: -7525 										 										摩根大通: -54277 										 										新加坡商瑞銀: -45525 										 										兆豐-忠孝: -2855","-1","2","-1"
"8081","致新","-94,270","玉山-城中: 1152 										 										統一-台中: 1388 										 										統一-敦南: 5661 										 										永豐金-中正: 1391 										 										國票-長城: 934 										 										永豐金-板橋: 3256 										 										新光-新竹: 1466 										 										元大-竹科: 1428","兆豐-中壢: -232 										 										台新-高雄: -1654 										 										摩根大通: -59432 										 										新加坡商瑞銀: -48866 										 										玉山-雙和: -762","-1","4","3"
"2327","國巨","-92,499","統一-台中: 4624 										 										永豐金-中正: 1045 										 										國票-長城: 3009 										 										(牛牛牛)亞-網路: 994 										 										台新-高雄: 1597 										 										摩根大通: 29027 										 										中國信託-嘉義: 494 										 										台灣匯立證券: 5999","康和-澎湖: -500 										 										玉山-城中: -4001 										 										美商高盛: -18918 										 										瑞士信貸: -50403 										 										統一-敦南: -3505 										 										港商麥格理: -17899 										 										新加坡商瑞銀: -35428 										 										富邦-台北: -2486 										 										兆豐-忠孝: -1648 										 										新光-新竹: -2508 										 										元大-竹科: -1992","-2","1","1"
"8454","富邦媒","-89,202","港商麥格理: 121360 										 										中國信託-忠孝: 1320 										 										摩根大通: 35505 										 										元大-竹科: 1358","美商高盛: -146630 										 										瑞士信貸: -102115","-1","-1","5"
